First Name,Last Name,Position,Team,Projected Points
Lamar,Jackson,QB,BAL,459
Josh,Allen,QB,BUF,445
Joe,Burrow,QB,CIN,422
Jalen,Hurts,QB,PHI,404
Jayden,Daniels,QB,WAS,401
Baker,Mayfield,QB,TB,373
Kyler,Murray,QB,ARI,372
Patrick,Mahomes,QB,KC,364
Brock,Purdy,QB,SF,346
Dak,Prescott,QB,DAL,345
Bo,Nix,QB,DEN,341
Justin,Fields,QB,NYJ,338
Jared,Goff,QB,DET,336
Jordan,Love,QB,GB,320
Caleb,Williams,QB,CHI,315
Justin,Herbert,QB,LAC,313
Matthew,Stafford,QB,LAR,307
Tua,Tagovailoa,QB,MIA,301
C.J.,Stroud,QB,HOU,300
Geno,Smith,QB,LV,300
J.J.,McCarthy,QB,MIN,296
Trevor,Lawrence,QB,JAC,295
Drake,Maye,QB,NE,289
Michael,Penix Jr. ,QB,ATL,285
Aaron,Rodgers,QB,PIT,269
Russell,Wilson,QB,NYG,259
Sam,Darnold,QB,SEA,259
Anthony,Richardson,QB,IND,257
Bryce,Young,QB,CAR,256
Cameron,Ward,QB,TEN,250
Tyler,Shough,QB,NO,163
Joe,Flacco,QB,CLE,53
Kenny,Pickett,QB,CLE,48
Dillon,Gabriel,QB,CLE,48
Spencer,Rattler,QB,NO,47
Daniel,Jones,QB,IND,42
Jalen,Milroe,QB,SEA,37
Shedeur,Sanders,QB,CLE,34
Jake,Browning,QB,CIN,15
Davis,Mills,QB,HOU,9
Jacoby,Brissett,QB,ARI,9
Joe,Milton III,QB,DAL,9
Tyson,Bagent,QB,CHI,9
Malik,Willis,QB,GB,9
Jarrett,Stidham,QB,DEN,9
Jameis,Winston,QB,NYG,9
Marcus,Mariota,QB,WAS,9
Jimmy,Garoppolo,QB,LAR,9
Mitch,Trubisky,QB,BUF,9
Mason,Rudolph,QB,PIT,9
Saquon,Barkley,RB,PHI,262
Derrick,Henry,RB,BAL,259
Jahmyr,Gibbs,RB,DET,248
Bijan,Robinson,RB,ATL,243
Josh,Jacobs,RB,GB,236
De'Von,Achane,RB,MIA,215
Kyren,Williams,RB,LAR,214
Ashton,Jeanty,RB,LV,199
Bucky,Irving,RB,TB,195
Alvin,Kamara,RB,NO,187
James,Cook,RB,BUF,187
Jonathan,Taylor,RB,IND,185
Breece,Hall,RB,NYJ,184
Christian,McCaffrey,RB,SF,181
James,Conner,RB,ARI,177
Chase,Brown,RB,CIN,174
Aaron,Jones,RB,MIN,171
Kenneth,Walker III,RB,SEA,171
Chuba,Hubbard,RB,CAR,157
