First Name,Last Name,Position,Team,Projected Points
Lamar,Jackson,QB,BAL,376
Jayden,Daniels,QB,WAS,361
Josh,Allen,QB,BUF,370
Jalen,Hurts,QB,PHI,356
Joe,Burrow,QB,CIN,343
Patrick,Mahomes,QB,KC,318
Baker,Mayfield,QB,TB,316
Bo,Nix,QB,DEN,307
Justin,Fields,QB,NYJ,305
Kyler,Murray,QB,ARI,303
Caleb,Williams,QB,CHI,291
Justin,Herbert,QB,LAC,289
Dak,Prescott,QB,DAL,289
Brock,Purdy,QB,SF,298
Trevor,Lawrence,QB,JAC,272
Jared,Goff,QB,DET,284
Jordan,Love,QB,GB,279
Drake,Maye,QB,NE,269
J.J.,McCarthy,QB,MIN,277
C.J.,Stroud,QB,HOU,269
Tua,Tagovailoa,QB,MIA,256
Bryce,Young,QB,CAR,246
Geno,Smith,QB,LV,261
Matthew,Stafford,QB,LAR,256
Michael,Penix Jr.,QB,ATL,253
Cameron,Ward,QB,TEN,245
Sam,Darnold,QB,SEA,245
Aaron,Rodgers,QB,PIT,226
Russell,Wilson,QB,NYG,217
Daniel,Jones,QB,IND,131
Tyler,Shough,QB,NO,233
Jaxson,Dart,QB,NYG,66
Anthony,Richardson,QB,IND,164
Joe,Flacco,QB,CLE,84
Dillon,Gabriel,QB,CLE,48
Shedeur,Sanders,QB,CLE,47
Kenny,Pickett,QB,CLE,53
Spencer,Rattler,QB,NO,40
Jalen,Milroe,QB,SEA,27
Jameis,Winston,QB,NYG,16
Kirk,Cousins,QB,ATL,22
Deshaun,Watson,QB,CLE,14
Bijan,Robinson,RB,ATL,308
Saquon,Barkley,RB,PHI,303
Christian,McCaffrey,RB,SF,285
Jahmyr,Gibbs,RB,DET,296
Ashton,Jeanty,RB,LV,270
De'Von,Achane,RB,MIA,282
Derrick,Henry,RB,BAL,271
Jonathan,Taylor,RB,IND,249
Chase,Brown,RB,CIN,237
Bucky,Irving,RB,TB,257
Josh,Jacobs,RB,GB,254
Alvin,Kamara,RB,NO,233
Breece,Hall,RB,NYJ,231
Kyren,Williams,RB,LAR,246
Kenneth,Walker III,RB,SEA,223
James,Cook,RB,BUF,227
James,Conner,RB,ARI,225
Chuba,Hubbard,RB,CAR,217
Omarion,Hampton,RB,LAC,206
David,Montgomery,RB,DET,189
Isiah,Pacheco,RB,KC,181
Aaron,Jones,RB,MIN,191
D'Andre,Swift,RB,CHI,193
Joe,Mixon,RB,HOU,183
Tony,Pollard,RB,TEN,191
TreVeyon,Henderson,RB,NE,178
RJ,Harvey,RB,DEN,178
Brian,Robinson Jr.,RB,WAS,169
Jaylen,Warren,RB,PIT,170
Kaleb,Johnson,RB,PIT,168
Travis,Etienne Jr.,RB,JAC,143
Cam,Skattebo,RB,NYG,143
Tyrone,Tracy Jr.,RB,NYG,157
Tyjae,Spears,RB,TEN,137
Jordan,Mason,RB,MIN,122
Austin,Ekeler,RB,WAS,137
Quinshon,Judkins,RB,CLE,130
Javonte,Williams,RB,DAL,146
J.K.,Dobbins,RB,DEN,140
Tank,Bigsby,RB,JAC,113
Rachaad,White,RB,TB,126
Rhamondre,Stevenson,RB,NE,133
Zach,Charbonnet,RB,SEA,129
Najee,Harris,RB,LAC,127
Jaydon,Blue,RB,DAL,94
Bhayshul,Tuten,RB,JAC,84
Jerome,Ford,RB,CLE,117
Braelon,Allen,RB,NYJ,78
Ray,Davis,RB,BUF,93
Dylan,Sampson,RB,CLE,101
Roschon,Johnson,RB,CHI,98
Justice,Hill,RB,BAL,91
Tyler,Allgeier,RB,ATL,94
Nick,Chubb,RB,HOU,96
Trey,Benson,RB,ARI,96
Isaac,Guerendo,RB,SF,91
Jaylen,Wright,RB,MIA,85
Rico,Dowdle,RB,CAR,95
Miles,Sanders,RB,DAL,76
Blake,Corum,RB,LAR,56
Elijah,Mitchell,RB,KC,52
MarShawn,Lloyd,RB,GB,70
Kareem,Hunt,RB,KC,62
Kendre,Miller,RB,NO,71
Jarquez,Hunter,RB,LAR,45
Jo'Quavious,Marks,RB,HOU,32
Samaje,Perine,RB,CIN,65
Trevor,Etienne,RB,CAR,44
DJ,Giddens,RB,IND,34
Tahj,Brooks,RB,CIN,47
Will,Shipley,RB,PHI,41
Antonio,Gibson,RB,NE,45
Brashard,Smith,RB,KC,27
Kenneth,Gainwell,RB,PIT,46
Jordan,James,RB,SF,33
Ty,Johnson,RB,BUF,68
Ollie,Gordon II,RB,MIA,26
Raheem,Mostert,RB,LV,63
Alexander,Mattison,RB,MIA,45
Devin,Neal,RB,NO,36
Jacory,Croskey-Merritt,RB,WAS,34
Devin,Singletary,RB,NYG,42
Isaiah,Davis,RB,NYJ,36
Phil,Mafah,RB,DAL,2
Kyle,Monangai,RB,CHI,37
Keaton,Mitchell,RB,BAL,48
Gus,Edwards,RB,FA,27
Emari,Demercado,RB,ARI,43
Jaleel,McLaughlin,RB,DEN,36
Emanuel,Wilson,RB,GB,45
Sean,Tucker,RB,TB,40
AJ,Dillon,RB,PHI,50
LeQuint,Allen,RB,JAC,15
Audric,Estime,RB,DEN,35
Khalil,Herbert,RB,IND,53
Jeremy,McNichols,RB,WAS,13
Cam,Akers,RB,NO,28
Dameon,Pierce,RB,HOU,41
Clyde,Edwards-Helaire,RB,NO,18
Michael,Carter,RB,ARI,31
Ja'Marr,Chase,WR,CIN,328
CeeDee,Lamb,WR,DAL,295
Justin,Jefferson,WR,MIN,301
Puka,Nacua,WR,LAR,283
Malik,Nabers,WR,NYG,283
Nico,Collins,WR,HOU,278
Brian,Thomas Jr.,WR,JAC,265
Amon-Ra,St. Brown,WR,DET,273
A.J.,Brown,WR,PHI,257
Drake,London,WR,ATL,259
Tee,Higgins,WR,CIN,254
Tyreek,Hill,WR,MIA,243
Ladd,McConkey,WR,LAC,256
Mike,Evans,WR,TB,243
Davante,Adams,WR,LAR,244
Rashee,Rice,WR,KC,208
Garrett,Wilson,WR,NYJ,224
Jaxon,Smith-Njigba,WR,SEA,230
DJ,Moore,WR,CHI,226
Marvin,Harrison Jr.,WR,ARI,230
Terry,McLaurin,WR,WAS,228
DK,Metcalf,WR,PIT,222
Xavier,Worthy,WR,KC,210
DeVonta,Smith,WR,PHI,219
Jaylen,Waddle,WR,MIA,200
Tetairoa,McMillan,WR,CAR,197
Courtland,Sutton,WR,DEN,215
Zay,Flowers,WR,BAL,207
George,Pickens,WR,DAL,202
Jameson,Williams,WR,DET,193
Travis,Hunter,WR,JAC,189
Chris,Godwin,WR,TB,197
Chris,Olave,WR,NO,188
Calvin,Ridley,WR,TEN,198
Jakobi,Meyers,WR,LV,200
Deebo,Samuel,WR,WAS,188
Rome,Odunze,WR,CHI,186
Jauan,Jennings,WR,SF,196
Jerry,Jeudy,WR,CLE,204
Khalil,Shakir,WR,BUF,186
Jordan,Addison,WR,MIN,174
Jayden,Reed,WR,GB,177
Stefon,Diggs,WR,NE,179
Ricky,Pearsall,WR,SF,166
Josh,Downs,WR,IND,171
Michael,Pittman.,WR,IND,171
Darnell,Mooney,WR,ATL,169
Cooper,Kupp,WR,SEA,174
Rashid,Shaheed,WR,NO,165
Matthew,Golden,WR,GB,169
Keon,Coleman,WR,BUF,159
Marquise,Brown,WR,KC,150
Brandon,Aiyuk,WR,SF,147
Jayden,Higgins,WR,HOU,141
Christian,Kirk,WR,HOU,147
Emeka,Egbuka,WR,TB,146
Romeo,Doubs,WR,GB,134
Tre,Harris,WR,LAC,151
Quentin,Johnston,WR,LAC,141
Luther,Burden III,WR,CHI,120
Marvin,Mims Jr.,WR,DEN,144
Cedric,Tillman,WR,CLE,136
Josh,Palmer,WR,BUF,122
Wan'Dale,Robinson,WR,NYG,145
Rashod,Bateman,WR,BAL,141
Xavier,Legette,WR,CAR,128
Diontae,Johnson,WR,CLE,88
Adam,Thielen,WR,CAR,152
Kyle,Williams,WR,NE,125
Jack,Bech,WR,LV,123
Demario,Douglas,WR,NE,124
Keenan,Allen,WR,FA,102
Michael,Wilson,WR,ARI,129
Darius,Slayton,WR,NYG,108
Amari,Cooper,WR,FA,94
Jalen,McMillan,WR,TB,99
Alec,Pierce,WR,IND,111
Ray-Ray,McCloud III,WR,ATL,98
Dontayvion,Wicks,WR,GB,91
Pat,Bryant,WR,DEN,78
Tyler,Lockett,WR,TEN,115
Jalen,Coker,WR,CAR,88
Dyami,Brown,WR,JAC,101
Christian,Watson,WR,GB,71
Jalen,Nailor,WR,MIN,87
Jaylin,Noel,WR,HOU,80
DeAndre,Hopkins,WR,BAL,103
Tutu,Atwell,WR,LAR,95
Kayshon,Boutte,WR,NE,72
Josh,Reynolds,WR,NYJ,78
Dont'e,Thornton Jr.,WR,LV,95
Andrei,Iosivas,WR,CIN,85
Noah,Brown,WR,WAS,83
Calvin,Austin III,WR,PIT,115
Jordan,Whittington,WR,LAR,74
Adonai,Mitchell,WR,IND,68
Nick,Westbrook-Ikhine,WR,MIA,90
Troy,Franklin,WR,DEN,71
Malik,Washington,WR,MIA,61
Gabriel,Davis,WR,FA,67
Mack,Hollins,WR,NE,38
Brock,Bowers,TE,LV,245
Trey,McBride,TE,ARI,240
George,Kittle,TE,SF,226
Sam,LaPorta,TE,DET,182
Travis,Kelce,TE,KC,179
T.J.,Hockenson,TE,MIN,172
David,Njoku,TE,CLE,174
Mark,Andrews,TE,BAL,163
Dalton,Kincaid,TE,BUF,143
Evan,Engram,TE,DEN,154
Tucker,Kraft,TE,GB,151
Jake,Ferguson,TE,DAL,153
Dallas,Goedert,TE,PHI,149
Tyler,Warren,TE,IND,138
Colston,Loveland,TE,CHI,138
Zach,Ertz,TE,WAS,140
Hunter,Henry,TE,NE,131
Chigoziem,Okonkwo,TE,TEN,127
Kyle,Pitts,TE,ATL,126
Mike,Gesicki,TE,CIN,127
Cade,Otton,TE,TB,127
Jonnu,Smith,TE,PIT,125
Isaiah,Likely,TE,BAL,114
Brenton,Strange,TE,JAC,125
Dalton,Schultz,TE,HOU,121
Darren,Waller,TE,MIA,127
Pat,Freiermuth,TE,PIT,118
Juwan,Johnson,TE,NO,114
Mason,Taylor,TE,NYJ,109
Theo,Johnson,TE,NYG,106
Elijah,Arroyo,TE,SEA,96
Ja'Tavion,Sanders,TE,CAR,91
Cole,Kmet,TE,CHI,86
Noah,Fant,TE,FA,75
Tyler,Higbee,TE,LAR,105
Terrance,Ferguson,TE,LAR,46
Will,Dissly,TE,LAC,85
AJ,Barner,TE,SEA,68
Harold,Fannin Jr.,TE,CLE,57
Noah,Gray,TE,KC,82
Taysom,Hill,TE,NO,99
Oronde,Gadsden II,TE,LAC,37
Austin,Hooper,TE,NE,62
Tyler,Conklin,TE,LAC,77
Michael,Mayer,TE,LV,59
Foster,Moreau,TE,NO,63
Cade,Stover,TE,HOU,34
Luke,Musgrave,TE,GB,41
Gerald,Everett,TE,FA,28
Dawson,Knox,TE,BUF,48
